scoot,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
1560-1680,15.930221,35.562972,49,81
1680-1800,19.381949,32.054567,38,63
1800-1920,9.351977,42.200799,47,65
1920-2040,15.253448,37.072331,47,77
2040-2160,14.567138,36.643431,42,76
2160-2280,12.22498,39.787288,49,71
2280-2400,13.928547,37.841906,55,79
2400-2520,10.741682,39.734569,52,86
2520-2640,16.127864,35.819431,70,74
2640-2760,19.530545,32.87056,72,87
2760-2880,16.367623,34.77862,54,90
2880-3000,9.579196,40.2882,51,77
3000-3120,17.544539,35.758135,68,85
3120-3240,13.662161,36.971766,57,89
3240-3360,13.326409,37.877302,68,88
3360-3480,14.310647,36.612263,45,93
3480-3600,9.781039,41.387218,50,77
3600-3720,13.336405,38.555912,56,79
3720-3840,15.709748,36.121829,81,87
3840-3960,19.723159,33.195809,69,104
3960-4080,11.590133,38.860844,45,102
4080-4200,11.344791,39.49785,61,73
4200-4320,15.935206,35.883616,80,92
4320-4440,18.117271,33.35997,96,99
4440-4560,25.667997,28.457621,98,103
4560-4680,25.077884,28.827096,67,103
4680-4800,11.63086,38.864236,74,95
4800-4920,16.397568,35.350811,72,101
4920-5040,17.714711,34.069887,87,100
5040-5160,23.469782,30.045994,92,101
5160-5280,28.730662,26.790187,118,93
5280-5400,40.481063,21.242528,129,103
5400-5520,38.396042,21.392712,144,106
5520-5640,47.560483,18.022311,146,102
5640-5760,43.581956,18.370588,164,99
5760-5880,50.122796,16.362103,171,103
5880-6000,47.195159,15.661813,182,85
SUM,,,,4007
