our,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
8040-8160,22.333767,15.581839,134,79
8160-8280,15.456877,21.515073,136,105
8280-8400,19.703573,19.099304,132,99
8400-8520,17.154714,20.698765,132,108
8520-8640,20.082713,19.43356,132,101
8640-8760,21.444296,18.716278,139,96
8760-8880,19.0823,19.51857,133,106
8880-9000,16.535562,20.710453,126,103
9000-9120,16.809343,21.18644,130,102
9120-9240,17.978663,20.717592,142,102
9240-9360,25.248448,13.748595,158,61
SUM,,,,6685
0-120,0.578199,48.399007,28,26
120-240,1.617123,46.911546,25,60
240-360,1.062993,47.486436,20,52
360-480,1.020205,47.555078,35,43
480-600,1.055489,47.158405,28,57
600-720,1.774183,46.857833,34,55
720-840,2.173037,46.009614,42,60
840-960,1.602207,46.744399,28,64
960-1080,1.206207,47.283147,31,58
1080-1200,1.35712,47.153907,31,58
1200-1320,1.539039,46.908366,30,59
1320-1440,1.065244,47.455129,43,60
1440-1560,2.997971,45.409255,50,75
1560-1680,4.19022,43.813359,40,82
1680-1800,0.583954,47.820186,31,61
1800-1920,1.416215,47.16294,46,59
1920-2040,2.499641,45.833764,38,85
2040-2160,1.636924,46.659435,37,72
2160-2280,3.050743,45.535009,42,73
2280-2400,25.493811,23.385586,86,37
2400-2520,66.590676,3.726447,135,0
2520-2640,31.045814,15.770434,127,81
2640-2760,14.232725,22.552072,116,110
2760-2880,14.571773,24.664895,119,110
2880-3000,14.783885,27.035621,87,112
3000-3120,15.159711,34.197223,73,116
3120-3240,7.498577,40.33168,47,104
3240-3360,5.02501,43.350662,61,85
3360-3480,3.416545,44.466677,37,94
3480-3600,2.006121,46.496709,49,70
3600-3720,9.93733,37.93734,67,67
3720-3840,14.882175,34.381654,83,96
3840-3960,17.690879,32.39888,78,97
3960-4080,10.773605,36.958196,47,109
4080-4200,3.69484,44.400244,56,80
4200-4320,5.395168,42.906394,69,98
4320-4440,5.357305,42.52762,77,107
4440-4560,10.552363,38.062973,74,108
4560-4680,5.192202,42.349918,39,107
4680-4800,3.453967,45.024661,64,77
4800-4920,15.498617,33.7786,81,82
4920-5040,14.337665,33.514039,85,111
5040-5160,14.413663,33.645816,79,112
5160-5280,13.542621,33.371085,90,108
5280-5400,16.336447,29.771862,94,110
5400-5520,14.098432,30.866238,103,112
5520-5640,13.855562,27.606655,93,114
5640-5760,15.673877,26.65424,112,96
5760-5880,14.48487,24.293617,117,103
5880-6000,14.234689,24.452101,116,112
6000-6120,14.720163,23.423774,120,104
6120-6240,15.00952,24.552076,111,115
6240-6360,22.372675,17.263328,125,75
6360-6480,21.597929,17.738665,129,84
6480-6600,15.203752,21.785761,126,109
6600-6720,15.655033,22.020782,129,102
6720-6840,23.332159,18.21103,155,93
6840-6960,27.759531,14.779878,165,87
6960-7080,24.858849,15.743564,154,98
7080-7200,24.994928,16.47252,149,96
7200-7320,27.148206,14.576794,157,87
7320-7440,32.187635,10.052999,187,60
7440-7560,22.094074,9.711396,209,37
SUM,,,,5231
