20,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
4440-4560,15.321941,33.99809,87,127
4560-4680,12.82174,37.002379,81,122
4680-4800,11.74441,38.068896,61,123
4800-4920,3.91944,45.109517,58,104
4920-5040,3.193848,45.928573,65,98
5040-5160,12.005611,37.376111,91,91
5160-5280,42.563791,18.417482,154,66
5280-5400,53.593464,13.552236,194,93
5400-5520,49.538468,13.545582,202,101
5520-5640,63.117881,10.12803,213,77
5640-5760,47.6409,15.479785,201,132
5760-5880,41.667238,16.945294,191,122
5880-6000,46.009594,15.841681,184,112
6000-6120,44.841743,17.302416,185,123
6120-6240,44.853306,16.803101,166,122
6240-6360,43.260072,18.08834,141,121
6360-6480,31.921254,22.534249,184,127
6480-6600,36.988035,19.698254,190,133
6600-6720,42.618764,17.725541,154,138
6720-6840,32.599346,22.412309,170,131
6840-6960,42.981705,18.483488,164,123
6960-7080,31.895399,22.215902,161,133
7080-7200,29.377891,23.206095,160,139
7200-7320,31.325468,22.44404,155,128
7320-7440,39.548034,20.215389,143,136
7440-7560,32.005582,22.548972,169,132
7560-7680,34.16161,21.701449,174,133
7680-7800,31.000625,22.22534,174,131
7800-7920,50.009323,13.830347,169,103
7920-8040,61.160364,11.047527,233,63
8040-8160,5.026931,8.114632,236,4
SUM,,,,6699
0-120,2.287538,47.391269,39,28
120-240,2.614075,46.823549,39,75
240-360,0.932629,48.683754,44,69
360-480,2.410998,46.989681,40,68
480-600,1.286926,48.364582,29,68
600-720,1.035361,48.680159,52,59
720-840,2.815104,46.511771,40,79
840-960,2.02175,47.456747,37,72
960-1080,2.785624,46.764348,39,74
1080-1200,1.75154,47.743378,37,70
1200-1320,2.107362,47.444749,43,66
1320-1440,1.885695,47.743902,49,81
1440-1560,2.982151,46.401193,39,78
1560-1680,3.024583,46.440915,39,78
1680-1800,3.079909,46.573886,42,80
1800-1920,4.480376,44.940148,56,89
1920-2040,5.359085,43.665124,59,90
